Filename,Date,Time,Title,Summary,Description,Best of,Link
./01 January 2002/A&G 01-01-02 Best Of.mp3,1/1/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-01-02%20Best%20Of.mp3
./01 January 2002/A&G 01-02-02.mp3,1/2/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-02-02.mp3
./01 January 2002/A&G 01-15-02.mp3,1/15/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-15-02.mp3
./01 January 2002/A&G 01-16-02.mp3,1/16/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-16-02.mp3
./01 January 2002/A&G 01-17-02.mp3,1/17/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-17-02.mp3
./01 January 2002/A&G 01-18-02.mp3,1/18/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-18-02.mp3
./01 January 2002/A&G 01-22-02.mp3,1/22/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-22-02.mp3
./01 January 2002/A&G 01-23-02.mp3,1/23/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-23-02.mp3
./01 January 2002/A&G 01-24-02.mp3,1/24/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-24-02.mp3
./01 January 2002/A&G 01-25-02.mp3,1/25/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-25-02.mp3
./01 January 2002/A&G 01-26-02 Best Of.mp3,1/26/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-26-02%20Best%20Of.mp3
./01 January 2002/A&G 01-28-02.mp3,1/28/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-28-02.mp3
./01 January 2002/A&G 01-29-02.mp3,1/29/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-29-02.mp3
./01 January 2002/A&G 01-30-02.mp3,1/30/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-30-02.mp3
./01 January 2002/A&G 01-31-02.mp3,1/31/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/01%20January%202002/A%26G%2001-31-02.mp3
./02 February 2002/A&G 02-01-02.mp3,2/1/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-01-02.mp3
./02 February 2002/A&G 02-02-02 Best Of.mp3,2/2/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-02-02%20Best%20Of.mp3
./02 February 2002/A&G 02-04-02.mp3,2/4/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-04-02.mp3
./02 February 2002/A&G 02-05-02.mp3,2/5/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-05-02.mp3
./02 February 2002/A&G 02-06-02.mp3,2/6/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-06-02.mp3
./02 February 2002/A&G 02-07-02.mp3,2/7/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-07-02.mp3
./02 February 2002/A&G 02-08-02.mp3,2/8/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-08-02.mp3
./02 February 2002/A&G 02-11-02.mp3,2/11/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-11-02.mp3
./02 February 2002/A&G 02-12-02.mp3,2/12/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-12-02.mp3
./02 February 2002/A&G 02-13-02.mp3,2/13/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-13-02.mp3
./02 February 2002/A&G 02-14-02.mp3,2/14/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-14-02.mp3
./02 February 2002/A&G 02-15-02.mp3,2/15/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-15-02.mp3
./02 February 2002/A&G 02-16-02 Best Of.mp3,2/16/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-16-02%20Best%20Of.mp3
./02 February 2002/A&G 02-18-02.mp3,2/18/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-18-02.mp3
./02 February 2002/A&G 02-19-02.mp3,2/19/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-19-02.mp3
./02 February 2002/A&G 02-20-02.mp3,2/20/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-20-02.mp3
./02 February 2002/A&G 02-21-02 Best Of.mp3,2/21/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-21-02%20Best%20Of.mp3
./02 February 2002/A&G 02-22-02 Best Of.mp3,2/22/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-22-02%20Best%20Of.mp3
./02 February 2002/A&G 02-23-02 Best Of.mp3,2/23/2002,6:00 AM,,,,x,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-23-02%20Best%20Of.mp3
./02 February 2002/A&G 02-25-02.mp3,2/25/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-25-02.mp3
./02 February 2002/A&G 02-27-02.mp3,2/27/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-27-02.mp3
./02 February 2002/A&G 02-28-02.mp3,2/28/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/02%20February%202002/A%26G%2002-28-02.mp3
./03 March 2002/A&G 03-01-02.mp3,3/1/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/03%20March%202002/A%26G%2003-01-02.mp3
./03 March 2002/A&G 03-04-02.mp3,3/4/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/03%20March%202002/A%26G%2003-04-02.mp3
./03 March 2002/A&G 03-05-02.mp3,3/5/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/03%20March%202002/A%26G%2003-05-02.mp3
./03 March 2002/A&G 03-06-02.mp3,3/6/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/03%20March%202002/A%26G%2003-06-02.mp3
./03 March 2002/A&G 03-07-02.mp3,3/7/2002,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2002/03%20March%202002/A%26G%2003-07-02.mp3
