Filename,Date,Time,Title,Summary,Description,Best of,Link
./01 January/A&G 01-06-03.mp3,1/6/2003,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-06-03.mp3
./01 January/A&G 01-07-03.mp3,1/7/2003,7:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-07-03.mp3
./01 January/A&G 01-08-03.mp3,1/8/2003,8:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-08-03.mp3
./01 January/A&G 01-09-03.mp3,1/9/2003,9:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-09-03.mp3
./01 January/A&G 01-10-03.mp3,1/10/2003,10:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-10-03.mp3
./01 January/A&G 01-13-03.mp3,1/13/2003,11:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-13-03.mp3
./01 January/A&G 01-14-03.mp3,1/14/2003,12:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-14-03.mp3
./01 January/A&G 01-15-03.mp3,1/15/2003,1:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-15-03.mp3
./01 January/A&G 01-17-03.mp3,1/17/2003,2:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-17-03.mp3
./01 January/A&G 01-21-03.mp3,1/21/2003,3:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-21-03.mp3
./01 January/A&G 01-22-03.mp3,1/22/2003,4:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-22-03.mp3
./01 January/A&G 01-23-03.mp3,1/23/2003,5:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-23-03.mp3
./01 January/A&G 01-24-03.mp3,1/24/2003,6:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-24-03.mp3
./01 January/A&G 01-29-03.mp3,1/29/2003,7:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-29-03.mp3
./01 January/A&G 01-30-03.mp3,1/30/2003,8:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/01%20January/A&G%2001-30-03.mp3
./02 February/A&G 02-03-03.mp3,2/3/2003,9:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-03-03.mp3
./02 February/A&G 02-06-03.mp3,2/6/2003,10:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-06-03.mp3
./02 February/A&G 02-07-03.mp3,2/7/2003,11:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-07-03.mp3
./02 February/A&G 02-11-03.mp3,2/11/2003,12:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-11-03.mp3
./02 February/A&G 02-12-03.mp3,2/12/2003,1:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-12-03.mp3
./02 February/A&G 02-14-03.mp3,2/14/2003,2:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-14-03.mp3
./02 February/A&G 02-19-03.mp3,2/19/2003,3:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-19-03.mp3
./02 February/A&G 02-20-03.mp3,2/20/2003,4:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-20-03.mp3
./02 February/A&G 02-26-03.mp3,2/26/2003,5:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-26-03.mp3
./02 February/A&G 02-27-03.mp3,2/27/2003,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-27-03.mp3
./02 February/A&G 02-28-03.mp3,2/28/2003,7:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/02%20February/A&G%2002-28-03.mp3
./03 March/A&G 03-04-03.mp3,3/4/2003,8:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-04-03.mp3
./03 March/A&G 03-06-03.mp3,3/6/2003,9:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-06-03.mp3
./03 March/A&G 03-10-03.mp3,3/10/2003,10:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-10-03.mp3
./03 March/A&G 03-11-03.mp3,3/11/2003,11:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-11-03.mp3
./03 March/A&G 03-13-03.mp3,3/13/2003,12:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-13-03.mp3
./03 March/A&G 03-17-03.mp3,3/17/2003,1:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-17-03.mp3
./03 March/A&G 03-20-03.mp3,3/20/2003,2:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-20-03.mp3
./03 March/A&G 03-21-03.mp3,3/21/2003,3:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-21-03.mp3
./03 March/A&G 03-24-03.mp3,3/24/2003,4:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-24-03.mp3
./03 March/A&G 03-26-03.mp3,3/26/2003,5:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-26-03.mp3
./03 March/A&G 03-31-03.mp3,3/31/2003,6:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/03%20March/A&G%2003-31-03.mp3
./04 April/A&G 04-07-03.mp3,4/7/2003,7:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-07-03.mp3
./04 April/A&G 04-08-03.mp3,4/8/2003,8:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-08-03.mp3
./04 April/A&G 04-10-03.mp3,4/10/2003,9:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-10-03.mp3
./04 April/A&G 04-12-03 Best Of.mp3,4/12/2003,10:00 PM,,,,x,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-12-03%20Best%20Of.mp3
./04 April/A&G 04-14-03.mp3,4/14/2003,11:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-14-03.mp3
./04 April/A&G 04-15-03.mp3,4/15/2003,12:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-15-03.mp3
./04 April/A&G 04-16-03.mp3,4/16/2003,1:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-16-03.mp3
./04 April/A&G 04-17-03.mp3,4/17/2003,2:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-17-03.mp3
./04 April/A&G 04-18-03.mp3,4/18/2003,3:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-18-03.mp3
./04 April/A&G 04-25-03.mp3,4/25/2003,4:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-25-03.mp3
./04 April/A&G 04-28-03.mp3,4/28/2003,5:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/04%20April/A&G%2004-28-03.mp3
./05 May/A&G 05-01-03.mp3,5/1/2003,6:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-01-03.mp3
./05 May/A&G 05-02-03.mp3,5/2/2003,7:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-02-03.mp3
./05 May/A&G 05-05-03.mp3,5/5/2003,8:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-05-03.mp3
./05 May/A&G 05-06-03.mp3,5/6/2003,9:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-06-03.mp3
./05 May/A&G 05-07-03.mp3,5/7/2003,10:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-07-03.mp3
./05 May/A&G 05-08-03.mp3,5/8/2003,11:00 AM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-08-03.mp3
./05 May/A&G 05-09-03.mp3,5/9/2003,12:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-09-03.mp3
./05 May/A&G 05-10-03 Best Of.mp3,5/10/2003,1:00 PM,,,,x,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-10-03%20Best%20Of.mp3
./05 May/A&G 05-14-03.mp3,5/14/2003,2:00 PM,,,,,https://storage.googleapis.com/ang-archives/2003/05%20May/A&G%2005-14-03.mp3
